X,Y,stnid,lat,long,maxtemp,mintemp,ppt,magnitude,timing,maxtempfreezedays,mintempfreezedays,prismppt,prismtemp,prismmintemp,prismmaxtemp,prismdewtemp,prismjjavpd,prismmaxvpd,elev,wizardppt,cesmppt,resep,resepx,resepxpptout,resepxprismjjavpdout,resepxmagnitudeout,resepxmintempfreezedaysout
-2278169.945,2034055.29,"47,965",38.4381,-122.6978,21.87405808,7.26416421,765.1187869,10.51738465,0.189907136,0,25.62295082,828.64,14.54,7.57,21.5,7.86,25.37666667,16.22,152,862.402136,731.2493525,0.022499466,0.0214755,FALSE,FALSE,FALSE,FALSE
-2051727.489,2201399.693,"48,702",40.4167,-120.6631,17.76777062,1.262590423,305.0623279,6.44423928,0.131192396,9.967213115,141.2622951,381.83,9.25,1.08,17.42,-2.05,37.71333333,18.82,"1,283",505.852684,1459.668927,-0.014900994,-0.014755,FALSE,FALSE,FALSE,FALSE
-2298281.246,2122645.511,"49,122",39.1467,-123.2103,23.09262884,7.143516569,969.3680984,12.16781648,0.206461214,0,35.85245902,1004.77,14.75,7.1,22.39,6.01,35.76,20.64,198,1093.319886,936.273813,-0.062067241,-0.062288222,FALSE,FALSE,FALSE,FALSE
-2076378.325,1650083.725,"49,452",35.5975,-119.3531,25.78701496,9.805909445,168.780918,4.993879227,0.087426136,0,28.06557377,172.89,17.85,10.14,25.57,7.59,44.9,25.62,103,163.2687362,601.3452995,0.029170318,0.029321667,FALSE,FALSE,FALSE,FALSE
-2226139.015,2285461.694,"49,490",40.7222,-122.9331,21.72680753,3.073135994,774.8165902,10.25026157,0.206989247,0.245901639,105.6721311,951.26,12.1,4.35,19.85,3.4,33.12,18.72,800,947.299096,1397.050752,0.015217495,0.016186,FALSE,FALSE,FALSE,FALSE
-2212351.674,2141703.868,"49,699",39.5231,-122.3058,24.21906584,8.801219356,445.4701967,7.738991731,0.150816596,0.016393443,28.24590164,498.05,16.76,9.45,24.08,7.48,39.82333333,23.35,47,435.044088,1082.717514,-0.052031704,-0.054377286,FALSE,FALSE,FALSE,FALSE
-2172220.894,2384231.449,"49,866",41.7036,-122.6408,19.23648099,2.722866087,482.6541311,5.494658198,0.205669163,2.557377049,138.2786885,460.23,11.17,3.73,18.62,2.26,34.75666667,17.67,893,552.161964,1446.71023,0.02132007,0.021604667,FALSE,FALSE,FALSE,FALSE
-796197.5769,1753060.877,"51,294",38.46,-105.2256,19.93224164,4.025803201,303.1302623,5.078814981,0.164626536,9.852459016,119.8852459,359.91,11.01,2.7,19.33,-1.01,31.46,19.13,"1,654",325.889366,773.3049428,0.013935385,0.015963077,FALSE,FALSE,FALSE,FALSE
-792424.5841,1838315.183,"51,528",39.2203,-105.2783,17.13354198,-2.590212766,411.8880656,4.980291517,0.215273705,14.31147541,208.8360656,446.67,6.97,-1.74,15.67,-4.33,26.41333333,15.71,"2,225",474.399864,691.4295063,0.014242175,0.015042897,FALSE,FALSE,FALSE,FALSE
-545636.5585,1773370.691,"51,564",38.8236,-102.3486,19.55955459,2.767073629,399.6294426,7.836312533,0.136688748,18.67213115,154.8852459,414.45,10.78,2.54,19.02,1.51,31.18,17.94,"1,289",380.501906,801.2270583,0.012110219,0.01123,FALSE,FALSE,FALSE,FALSE
