X,Y,stnid,lat,long,maxtemp,mintemp,ppt,magnitude,timing,maxtempfreezedays,mintempfreezedays,prismppt,prismtemp,prismmintemp,prismmaxtemp,prismdewtemp,prismjjavpd,prismmaxvpd,elev,wizardppt,cesmppt,resep,resepx,resepxpptout,resepxprismjjavpdout,resepxmagnitudeout,resepxmintempfreezedaysout
-1965074.489,2787268.116,"354,003",45.6847,-121.5175,16.36714583,4.547902184,774.762459,6.338041416,0.318620392,9.573770492,91.24590164,729.43,10.5,4.71,16.29,4.67,23.42666667,12.27,447,951.049914,1477.766387,0.003932239,0.00153,FALSE,FALSE,FALSE,FALSE
-2102891.354,2772935.99,"355,384",45.2214,-123.1622,17.63244404,5.247120073,961.4649508,7.58119174,0.347326229,2.081967213,53.62295082,1014.34,11.72,6.02,17.43,6.72,21.29666667,11.49,54,1143.770128,1363.417279,-0.03986031,-0.044216,FALSE,FALSE,FALSE,FALSE
-1976711.451,2444959.452,"356,426",42.6922,-120.5403,16.98728337,1.238730194,249.5737377,4.344199134,0.139237356,8.901639344,148.295082,311.68,7.97,0.27,15.66,-1.81,31.65333333,15.64,"1,314",394.737336,1071.445188,0.018951646,0.01667,FALSE,FALSE,FALSE,FALSE
-1951414.04,2624171.251,"356,883",44.3022,-120.8081,17.61234371,-0.053919489,243.1321311,3.570641691,0.173627112,7.967213115,170.8360656,314.77,8.33,1.18,15.49,-0.08,26.06333333,14.14,"1,235",339.809582,1187.453549,-0.016198222,-0.018143333,FALSE,FALSE,FALSE,FALSE
-1666689.502,2698970.14,"358,997",45.5722,-117.5314,15.73365099,0.083633932,423.9759672,4.135518305,0.276166519,23.95081967,170.8360656,471.14,7.38,0.07,14.68,-0.41,29.92333333,14.15,946,863.275388,846.4261988,-0.014502798,-0.022426,FALSE,FALSE,FALSE,FALSE
1709896.924,2145489.635,"360,106",40.6508,-75.4492,16.31692347,5.346308318,1149.266721,9.118011967,0.337449597,26.57377049,122.0327869,1157.37,10.87,5.3,16.44,5.14,19.22666667,11.18,101,1286.39951,1238.110437,0.006634234,0.003316667,FALSE,FALSE,FALSE,FALSE
1545466.266,2029487.722,"361,354",39.9353,-77.6394,16.9848441,5.516732442,1022.828852,8.783967867,0.265745008,22.19672131,116.295082,1044.57,11.53,5.85,17.22,5.6,20.64333333,12.33,214,1199.302402,1136.773947,0.018288837,0.015368522,FALSE,FALSE,FALSE,FALSE
1335174.368,2157669.685,"363,028",41.4003,-79.8303,15.10305244,2.99107001,1074.036918,7.234069039,0.389448925,37.24590164,138.7868852,1155.75,8.74,3.42,14.05,3.84,17.04666667,9.52,419,1177.362898,1146.320708,0.0397115,0.0364293,FALSE,FALSE,FALSE,FALSE
1423053.32,2175522.545,"367,477",41.42,-78.7497,14.35854947,1.149133051,1087.190787,6.940775184,0.403524492,44.54098361,167.6721311,1135,7.6,1.7,13.5,2.75,15.11,9.51,604,1239.661478,1132.849104,-0.024742631,-0.0281845,FALSE,FALSE,FALSE,FALSE
1591110.504,2135463.673,"367,931",40.7831,-76.8611,16.07592314,4.324948415,744.8487541,8.376992262,0.28000192,18.96721311,91.62295082,1077.83,10.02,4.2,15.84,4.86,18.06333333,10.92,221,1170.071574,1207.651721,0.014390461,0.010733514,FALSE,FALSE,FALSE,FALSE
1508298.089,2120177.514,"368,449",40.7933,-77.8672,15.1160043,4.612332757,967.7108525,7.153416454,0.366815476,36.80327869,125.5081967,1029.22,9.28,3.68,14.89,4.09,18.08666667,10.4,383,1140.512832,1132.893813,0.018554744,0.01573192,FALSE,FALSE,FALSE,FALSE
1603231.096,2248615.123,"368,905",41.7511,-76.4431,15.38030127,3.166206336,860.7768525,6.548427389,0.358174923,33.24590164,142.704918,939.34,8.44,2.42,14.45,3.38,16.79666667,10.26,391,1006.94871,1164.267071,0.006915529,0.001909091,FALSE,FALSE,FALSE,FALSE
1372618.441,1995318.246,"369,050",39.915,-79.7192,17.26120717,4.780536903,1050.764689,7.132244821,0.402313748,24.70491803,123.7213115,1099.99,10.8,4.83,16.78,5.32,18.81,11.55,346,1331.458856,1304.782268,-0.010529871,-0.014501471,FALSE,FALSE,FALSE,FALSE
1381894.38,2216962.919,"369,298",41.85,-79.15,14.84092107,3.092759569,1142.754328,6.810368901,0.437860023,43.29508197,144.1639344,1181.74,8.28,2.44,14.12,3.21,17.56666667,10.02,413,1208.4177,1146.320708,-0.005299347,-0.00857,FALSE,FALSE,FALSE,FALSE
1710876.115,2067725.371,"369,464",39.9708,-75.635,17.88602552,5.706422031,1017.307475,9.733302073,0.298363095,14.96721311,99.63934426,1197.27,11.82,6.26,17.38,5.94,19.43666667,11.59,107,1266.120658,1213.944071,-0.033356469,-0.035557182,FALSE,FALSE,FALSE,FALSE
1575865.062,2184945.406,"369,728",41.2433,-76.9217,15.82275652,4.768622519,1059.887869,7.642897652,0.371345766,30.27868852,126.2131148,1145.83,8.3,2.88,13.73,3.54,16.46333333,9.29,400,1172.684218,1164.267071,0.002030479,-0.000372667,FALSE,FALSE,FALSE,FALSE
1619746.428,2042255.692,"369,933",39.9167,-76.75,18.44418011,5.48489102,1052.617639,8.482456689,0.297547043,15.3442623,121.2622951,1081.76,11.36,5.62,17.1,5.51,19.40666667,11.59,175,1243.546154,1106.902595,0.001011882,-0.001351094,FALSE,FALSE,FALSE,FALSE
2004485.618,2313293.056,"374,266",41.4906,-71.5414,15.8809037,4.085686644,1278.735934,10.79100611,0.303763441,18.24590164,134.6229508,1303.67,10.1,5.07,15.14,4.57,14.85333333,9.39,42,1306.76142,1223.276838,0.094066619,0.08506,FALSE,FALSE,FALSE,FALSE
2006593.808,2340619.893,"376,698",41.7219,-71.4325,15.60261757,5.559298036,1175.682721,9.398318786,0.334635417,24.2295082,115.0983607,1212.09,10.69,6,15.38,4.68,17.00333333,10.19,16,1276.567932,1223.276838,0.006954155,0.005456667,FALSE,FALSE,FALSE,FALSE
1456917.267,1420644.82,"381,588",34.7319,-79.8833,22.98421835,9.486712368,1181.816197,11.25589924,0.283458141,1.229508197,70.1147541,1141.59,16.57,9.95,23.2,10.03,25.7,17.22,33,1263.689878,1404.086567,0.011868651,0.007266667,FALSE,FALSE,FALSE,FALSE
